Object_Name,RA_deg,Dec_deg,l_deg,b_deg,X_helio_pc,Y_helio_pc,Z_helio_pc,Distance_pc,mu_l_mas_yr,mu_b_mas_yr,Radial_Velocity_kms,Radial_Velocity_err,Sigma_v_l_kms,Sigma_v_l_err_up,Sigma_v_l_err_down,Sigma_v_b_kms,Sigma_v_b_err_up,Sigma_v_b_err_down,N_B_stars,N_B_stars_err_up,N_B_stars_err_down,N_O_stars,N_O_stars_err_up,N_O_stars_err_down,N_O_stars_corrected,N_O_stars_corrected_err_up,N_O_stars_corrected_err_down,Total_Stellar_Mass_Msun,Total_Stellar_Mass_err_up,Total_Stellar_Mass_err_down,Vel_Grad_l_mas_deg,Vel_Grad_l_mas_deg_err,Vel_Grad_l_km_pc,Vel_Grad_l_km_pc_err,Vel_Grad_b_mas_deg,Vel_Grad_b_mas_deg_err,Vel_Grad_b_km_pc,Vel_Grad_b_km_pc_err,Expansion_Age_l_Myr,Expansion_Age_l_Myr_err,Expansion_Age_b_Myr,Expansion_Age_b_Myr_err,U_obs_kms,V_obs_kms,W_obs_kms,U_lsr_kms,V_lsr_kms,W_lsr_kms,U_pec_kms,V_pec_kms,W_pec_kms,U_lsr_abs_kms,V_lsr_abs_kms,W_lsr_abs_kms,Beta_rad,v_lsr_kms,V_gal_abs_kms,v_l_kms,v_b_kms,v_lb_kms,X_gc_kpc,Y_gc_kpc,Z_gc_kpc,vx_gc_kms,vy_gc_kms,vz_gc_kms,Distance_err_pc,RA_err_deg,Dec_err_deg,l_err_deg,b_err_deg,X_helio_err_pc,Y_helio_err_pc,Z_helio_err_pc,mu_l_err,mu_b_err,Radial_Velocity_err_kms,U_obs_err_kms,V_obs_err_kms,W_obs_err_kms,U_lsr_err_kms,V_lsr_err_kms,W_lsr_err_kms,U_lsr_abs_err_kms,V_lsr_abs_err_kms,W_lsr_abs_err_kms,U_pec_err_kms,V_pec_err_kms,W_pec_err_kms,v_lsr_err_kms,V_gal_abs_err_kms,v_l_pec_err_kms,v_b_pec_err_kms,v_lb_err_kms,X_gc_err_kpc,Y_gc_err_kpc,Z_gc_err_kpc,vx_gc_err_kms,vy_gc_err_kms,vz_gc_err_kms
Group A,301.45,35.68,72.61,2.06,565.85,1806.74,68.10,1894.50,-6.90,-1.35,-12.50,2.77,2.20,0.55,0.47,1.55,0.32,0.24,112.00,3.00,3.00,3.00,1.00,1.00,13.00,4.00,3.00,2344.00,275.00,252.00,0.24,0.07,0.07,0.02,0.34,0.04,0.09,0.01,13.98,3.99,10.87,1.21,55.53,-30.03,-12.57,64.63,-21.37,-4.67,14.24,-12.25,-4.67,64.63,213.43,-4.67,0.23,5.44,222.55,-17.25,-4.40,17.80,-7.71,1.81,0.07,64.63,213.43,-4.67,4,0.00,0.00,0.00,0.00,1.19,3.79,0.14,0.24,0.17,2.77,2.24,2.74,1.53,2.24,2.75,1.53,2.24,4.07,1.53,2.37,2.73,1.53,2.77,4.06,2.39,1.53,2.34,0.00,0.00,0.00,2.24,2.74,1.53
Group B,304.37,41.43,78.58,3.31,341.24,1689.30,99.67,1726.30,-5.47,-0.59,-21.00,10.80,2.72,0.47,0.37,2.18,0.41,0.33,82.00,3.00,2.00,4.00,1.00,1.00,11.00,4.00,3.00,1978.00,245.00,224.00,0.39,0.04,0.11,0.01,-0.03,0.04,-0.01,0.01,8.89,0.81,,,39.78,-29.14,-6.03,48.88,-20.48,1.87,3.19,-15.00,1.87,48.88,214.32,1.87,0.21,-3.55,219.80,-6.09,2.68,6.66,-7.94,1.69,0.10,48.88,214.32,1.87,7,0.00,0.00,0.00,0.00,1.37,6.80,0.40,0.34,0.27,10.80,3.49,10.62,2.28,3.49,10.63,2.28,3.49,11.04,2.28,4.12,10.42,2.28,10.80,10.84,4.46,2.29,4.18,0.00,0.01,0.00,3.49,10.62,2.28
Group C,305.47,37.87,76.11,0.54,411.23,1662.93,16.15,1713.10,-6.57,-1.19,-19.20,2.98,2.24,0.46,0.35,0.96,0.22,0.18,76.00,2.00,3.00,10.00,1.00,2.00,12.00,4.00,3.00,2165.00,245.00,224.00,0.38,0.04,0.10,0.01,0.10,0.04,0.03,0.01,7.93,0.80,32.62,10.87,47.21,-31.36,-9.84,56.31,-22.70,-1.94,11.22,-15.64,-1.94,56.31,212.10,-1.94,0.21,-1.80,219.16,-14.64,-1.83,14.76,-7.87,1.66,0.02,56.31,212.10,-1.94,10,0.00,0.00,0.00,0.00,2.38,9.64,0.09,0.27,0.12,2.98,2.26,2.95,0.98,2.27,2.97,0.99,2.27,4.22,0.99,2.38,2.94,0.99,2.98,4.20,2.40,0.99,2.39,0.00,0.01,0.00,2.26,2.95,0.98
Group D,304.34,37.64,75.44,1.19,502.70,1935.45,41.54,2000.10,-5.55,-1.34,-7.00,3.88,1.53,0.45,0.41,1.32,0.30,0.26,75.00,2.00,3.00,4.00,2.00,1.00,11.00,4.00,3.00,1569.00,215.00,192.00,0.20,0.05,0.05,0.01,0.07,0.03,0.02,0.01,19.57,3.91,,,49.24,-19.75,-12.85,58.34,-11.09,-4.95,2.57,-3.62,-4.95,58.34,223.71,-4.95,0.24,10.55,231.18,-3.39,-4.89,5.95,-7.77,1.94,0.04,58.34,223.71,-4.95,10,0.00,0.00,0.00,0.00,2.51,9.68,0.21,0.16,0.14,3.88,1.77,3.80,1.33,1.78,3.81,1.34,1.78,4.85,1.34,2.09,3.72,1.34,3.88,4.78,2.16,1.34,1.65,0.00,0.01,0.00,1.77,3.80,1.33
Group E,308.08,41.30,80.19,0.85,285.19,1649.34,24.83,1674.00,-4.72,-0.96,-12.35,2.06,2.15,0.66,0.45,1.96,0.52,0.29,110.00,4.00,3.00,35.00,2.00,3.00,23.00,6.00,5.00,4198.00,354.00,319.00,0.43,0.06,0.12,0.01,0.16,0.05,0.04,0.01,8.37,0.70,24.46,6.11,34.82,-18.44,-7.80,43.92,-9.78,0.10,-2.46,-5.54,0.10,43.92,225.02,0.10,0.20,4.59,229.26,1.48,0.19,1.50,-7.99,1.65,0.02,43.92,225.02,0.10,10,0.00,0.00,0.00,0.00,1.71,9.86,0.15,0.27,0.25,2.06,2.17,2.08,1.97,2.18,2.10,1.98,2.18,3.66,1.98,2.26,2.10,1.98,2.06,3.66,2.26,1.98,2.25,0.00,0.01,0.00,2.17,2.08,1.97
Group F,302.95,36.58,74.04,1.44,545.69,1908.08,49.89,1985.20,-6.11,-1.33,-13.48,5.06,2.80,0.58,0.48,1.50,0.30,0.25,139.00,3.00,3.00,5.00,2.00,1.00,17.00,4.00,5.00,2955.00,349.00,269.00,0.35,0.03,0.09,0.01,0.06,0.03,0.02,0.01,10.87,1.21,,,51.66,-28.46,-12.85,60.76,-19.80,-4.95,7.48,-11.51,-4.95,60.76,215.00,-4.95,0.24,4.25,223.29,-10.36,-4.72,11.38,-7.73,1.91,0.05,60.76,215.00,-4.95,10,0.00,0.00,0.00,0.00,2.75,9.61,0.25,0.30,0.10,5.06,3.08,4.90,0.95,3.09,4.91,0.96,3.09,5.76,0.96,3.30,4.83,0.96,5.06,5.68,3.36,0.96,3.08,0.00,0.01,0.00,3.08,4.90,0.95
W75N,309.65,42.63,81.87,0.78,183.83,1286.82,17.70,1300.00,-4.50,-0.96,-7.71,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37,-11.47,-6.02,35.47,-2.81,1.88,-1.39,-0.12,1.88,35.47,231.99,1.88,0.16,9.00,234.68,1.36,1.88,2.33,-8.09,1.29,0.02,35.47,231.99,1.88,70,0.00,0.00,0.00,0.00,9.76,68.34,0.94,0.01,0.01,0.01,1.46,0.20,0.32,1.47,0.33,0.34,1.47,3.02,0.34,1.53,0.40,0.34,0.01,3.03,1.51,0.34,0.93,0.01,0.07,0.00,1.46,0.20,0.32
DR21,309.76,42.42,81.75,0.59,215.23,1484.40,15.45,1500.00,-4.74,-0.06,-19.70,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.53,-24.33,-0.63,39.63,-15.67,7.27,-0.71,-12.11,7.27,39.63,219.13,7.27,0.18,-3.00,222.69,-1.04,7.39,7.47,-8.06,1.48,0.02,39.63,219.13,7.27,80,0.00,0.00,0.00,0.00,11.48,79.15,0.82,0.01,0.01,0.01,1.78,0.26,0.07,1.79,0.37,0.15,1.79,3.02,0.15,1.84,0.49,0.15,0.01,3.04,1.82,0.15,0.29,0.01,0.08,0.00,1.78,0.26,0.07
DR20,309.25,41.58,80.86,0.38,231.91,1441.43,9.68,1460.00,-5.84,-0.29,-19.79,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76,-25.95,-2.14,45.86,-17.29,5.76,6.78,-12.61,5.76,45.86,217.51,5.76,0.18,-3.00,222.19,-8.70,5.84,10.48,-8.05,1.44,0.01,45.86,217.51,5.76,90,0.00,0.00,0.00,0.00,14.35,89.18,0.60,0.01,0.01,0.01,2.47,0.40,0.14,2.48,0.47,0.19,2.48,3.04,0.19,2.50,0.64,0.19,0.01,3.07,2.46,0.19,2.04,0.01,0.09,0.00,2.47,0.40,0.14
IRAS20290+4052,307.71,41.04,79.74,0.99,242.20,1338.05,23.50,1360.00,-5.02,-0.15,-18.42,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,-23.87,-1.29,37.67,-15.21,6.61,1.09,-12.01,6.61,37.67,219.59,6.61,0.17,-1.40,222.79,-3.21,6.81,7.53,-8.03,1.34,0.02,37.67,219.59,6.61,120,0.00,0.00,0.00,0.00,21.25,117.40,2.06,0.02,0.02,0.01,2.80,0.50,0.16,2.80,0.57,0.20,2.80,3.05,0.20,2.81,0.73,0.20,0.02,3.09,2.77,0.20,1.19,0.02,0.12,0.00,2.80,0.50,0.16
