Object_Name,X_helio_pc,Y_helio_pc,Z_helio_pc,mu_l_mas_yr,mu_b_mas_yr,Radial_Velocity_kms,Radial_Velocity_err,Total_Stellar_Mass_Msun,Total_Stellar_Mass_err_up,Total_Stellar_Mass_err_down,Vel_Grad_l_mas_deg,Vel_Grad_l_mas_deg_err,Vel_Grad_l_km_pc,Vel_Grad_l_km_pc_err,Vel_Grad_b_mas_deg,Vel_Grad_b_mas_deg_err,Vel_Grad_b_km_pc,Vel_Grad_b_km_pc_err,Expansion_Age_l_Myr,Expansion_Age_l_Myr_err,Expansion_Age_b_Myr,Expansion_Age_b_Myr_err,U_obs_kms,V_obs_kms,W_obs_kms,U_lsr_kms,V_lsr_kms,W_lsr_kms,U_pec_kms,V_pec_kms,W_pec_kms,U_lsr_abs_kms,V_lsr_abs_kms,W_lsr_abs_kms,Beta_rad,v_lsr_kms,V_gal_abs_kms,v_l_kms,v_b_kms,v_lb_kms,Distance_err_pc,X_helio_err_pc,Y_helio_err_pc,Z_helio_err_pc,mu_l_err,mu_b_err,Radial_Velocity_err_kms,U_obs_err_kms,V_obs_err_kms,W_obs_err_kms,U_lsr_err_kms,V_lsr_err_kms,W_lsr_err_kms,U_lsr_abs_err_kms,V_lsr_abs_err_kms,W_lsr_abs_err_kms,U_pec_err_kms,V_pec_err_kms,W_pec_err_kms,v_lsr_err_kms,V_gal_abs_err_kms,v_l_pec_err_kms,v_b_pec_err_kms,v_lb_err_kms
Group A,565.85,1806.74,68.1,-6.9,-1.35,-12.5,2.77,2344,275,252,0.24,0.07,0.07,0.02,0.34,0.04,0.09,0.01,13.98,3.99,10.87,1.21,55.53,-30.03,-12.57,64.63,-21.37,-4.67,13.41,-12.2,-4.67,64.63,213.43,-4.67,0.23,5.44,222.6,-16.44,-4.39,17.02,4,1.1736207001712706 pc,3.74734395612316 pc,0.14124525960018824 pc,0.24,0.17,2.77,2.21,2.73,1.52,2.21,2.75,1.53,2.21,4.07,1.53,2.35,2.72,1.53,2.77,4.05,2.36,1.53,2.32
Group B,341.24,1689.3,99.67,-5.47,-0.59,-21,10.8,1978,245,224,0.39,0.04,0.11,0.01,-0.03,0.04,-0.01,0.01,8.89,0.81,,,39.78,-29.14,-6.03,48.88,-20.48,1.87,2.46,-14.99,1.87,48.88,214.32,1.87,0.21,-3.55,219.81,-5.38,2.68,6.01,7,1.3822534915313218 pc,6.84286456432629 pc,0.4037505156034788 pc,0.34,0.27,10.8,3.47,10.65,2.3,3.48,10.65,2.31,3.48,11.07,2.31,4.13,10.44,2.31,10.8,10.86,4.47,2.31,4.13
Group C,411.23,1662.93,16.15,-6.57,-1.19,-19.2,2.98,2165,245,224,0.38,0.04,0.1,0.01,0.1,0.04,0.03,0.01,7.93,0.8,32.62,10.87,47.21,-31.36,-9.84,56.31,-22.7,-1.94,10.49,-15.6,-1.94,56.31,212.1,-1.94,0.21,-1.8,219.2,-13.93,-1.83,14.05,10,2.418606010887965 pc,9.780437297569428 pc,0.09496032251299236 pc,0.27,0.12,2.98,2.26,2.92,0.98,2.27,2.93,0.99,2.27,4.19,0.99,2.39,2.9,0.99,2.98,4.17,2.41,0.99,2.39
Group D,502.7,1935.45,41.54,-5.55,-1.34,-7,3.88,1569,215,192,0.2,0.05,0.05,0.01,0.07,0.03,0.02,0.01,19.57,3.91,,,49.24,-19.75,-12.85,58.34,-11.09,-4.95,1.67,-3.61,-4.95,58.34,223.71,-4.95,0.25,10.55,231.19,-2.52,-4.88,5.5,10,2.482994466705252 pc,9.559733294005548 pc,0.20516427446432847 pc,0.16,0.14,3.88,1.78,3.75,1.33,1.79,3.76,1.34,1.79,4.81,1.34,2.1,3.67,1.34,3.88,4.74,2.16,1.34,1.55
Group E,285.19,1649.34,24.83,-4.72,-0.96,-12.35,2.06,4198,354,319,0.43,0.06,0.12,0.01,0.16,0.05,0.04,0.01,8.37,0.7,24.46,6.11,34.82,-18.44,-7.8,43.92,-9.78,0.1,-3.2,-5.55,0.1,43.92,225.02,0.1,0.21,4.59,229.25,2.2,0.19,2.21,10,1.6916090304640747 pc,9.783143336968703 pc,0.1472973260772961 pc,0.27,0.25,2.06,2.15,2.06,1.97,2.16,2.07,1.98,2.16,3.65,1.98,2.24,2.08,1.98,2.06,3.65,2.24,1.98,2.24
Group F,545.69,1908.08,49.89,-6.11,-1.33,-13.48,5.06,2955,349,269,0.35,0.03,0.09,0.01,0.06,0.03,0.02,0.01,10.87,1.21,,,51.66,-28.46,-12.85,60.76,-19.8,-4.95,6.61,-11.48,-4.95,60.76,215,-4.95,0.25,4.25,223.32,-9.51,-4.72,10.62,10,2.75312822760384 pc,9.626680267481833 pc,0.25169344301529006 pc,0.3,0.1,5.06,3.03,4.93,0.95,3.04,4.93,0.96,3.04,5.77,0.96,3.27,4.84,0.96,5.06,5.7,3.33,0.96,3.01
W75N,183.83,1286.82,17.7,-4.5,-0.96,-7.71,0.01,,,,,,,,,,,,,,,,26.37,-11.47,-6.02,35.47,-2.81,1.88,-1.97,-0.13,1.88,35.47,231.99,1.88,0.16,9,234.67,1.94,1.88,2.7,70,9.813936733299245 pc,68.69841722006751 pc,0.9447852441782343 pc,0.01,0.01,0.01,1.47,0.21,0.32,1.48,0.33,0.35,1.48,3.02,0.35,1.54,0.41,0.35,0.01,3.03,1.51,0.35,1.11
DR21,215.23,1484.4,15.45,-4.74,-0.06,-19.7,0.01,,,,,,,,,,,,,,,,30.53,-24.33,-0.63,39.63,-15.67,7.27,-1.34,-12.12,7.27,39.63,219.13,7.27,0.18,-3,222.68,-0.41,7.4,7.41,80,11.42615001713962 pc,78.80478726060387 pc,0.8200013191613292 pc,0.01,0.01,0.01,1.77,0.26,0.07,1.78,0.37,0.15,1.78,3.02,0.15,1.84,0.49,0.15,0.01,3.04,1.81,0.15,0.18
DR20,231.91,1441.43,9.68,-5.84,-0.29,-19.79,0.01,,,,,,,,,,,,,,,,36.76,-25.95,-2.14,45.86,-17.29,5.76,6.17,-12.59,5.76,45.86,217.51,5.76,0.18,-3,222.21,-8.09,5.84,9.97,90,14.257224448309325 pc,88.61462122876071 pc,0.595283396185441 pc,0.01,0.01,0.01,2.45,0.39,0.14,2.46,0.47,0.19,2.46,3.04,0.19,2.48,0.64,0.19,0.01,3.07,2.44,0.19,1.99
IRAS20290+4052,242.2,1338.05,23.5,-5.02,-0.15,-18.42,0.01,,,,,,,,,,,,,,,,28.57,-23.87,-1.29,37.67,-15.21,6.61,0.51,-12,6.61,37.67,219.59,6.61,0.17,-1.4,222.8,-2.64,6.82,7.31,120,21.16413800981121 pc,116.92265565805066 pc,2.0533126474326924 pc,0.02,0.02,0.01,2.79,0.5,0.15,2.79,0.57,0.2,2.79,3.05,0.2,2.8,0.73,0.2,0.02,3.09,2.76,0.2,1.01
