Object_Name,RA_deg,Dec_deg,l_deg,b_deg,Distance_pc,mu_l_mas_yr,mu_b_mas_yr,Radial_Velocity_kms,Radial_Velocity_err,Expansion_Age_l_Myr,Expansion_Age_l_Myr_err,Expansion_Age_b_Myr,Expansion_Age_b_Myr_err,v_lsr_kms,Distance_err_pc,mu_l_err,mu_b_err,Radial_Velocity_err_kms
Group A,301.45,35.68,72.61,2.06,1894.5,-6.9,-1.35,-12.5,2.77,13.98,3.99,10.87,1.21,,4,0.24,0.17,2.77
Group B,304.37,41.43,78.58,3.31,1726.3,-5.47,-0.59,-21,10.8,8.89,0.81,,,,7,0.34,0.27,10.8
Group C,305.47,37.87,76.11,0.54,1713.1,-6.57,-1.19,-19.2,2.98,7.93,0.8,32.62,10.87,,10,0.27,0.12,2.98
Group D,304.34,37.64,75.44,1.19,2000.1,-5.55,-1.34,-7,3.88,19.57,3.91,,,,10,0.16,0.14,3.88
Group E,308.08,41.3,80.19,0.85,1674,-4.72,-0.96,-12.35,2.06,8.37,0.7,24.46,6.11,,10,0.27,0.25,2.06
Group F,302.95,36.58,74.04,1.44,1985.2,-6.11,-1.33,-13.48,5.06,10.87,1.21,,,,10,0.3,0.1,5.06
W75N,309.65,42.63,81.87,0.78,1300,-4.5,-0.96,,,,,,,9,70,0.01,0.01,
DR21,309.76,42.42,81.75,0.59,1500,-4.74,-0.06,,,,,,,-3,80,0.01,0.01,
DR20,309.25,41.58,80.86,0.38,1460,-5.84,-0.29,,,,,,,-3,90,0.01,0.01,
IRAS20290+4052,307.71,41.04,79.74,0.99,1360,-5.02,-0.15,,,,,,,-1.4,120,0.02,0.02,
