name,t_Myr,x,y,z,vx,vy,vz
Group A,-25.000000000000004,-7.0077386,-3.6349545,0.02338274,-116.99277,190.8265,7.124527
Group A,-24.5,-7.0667043,-3.5369334,0.027002716,-113.62866,192.54076,7.0317163
Group A,-24.000000000000004,-7.1239448,-3.4380488,0.030572109,-110.24365,194.20456,6.926761
Group A,-23.500000000000004,-7.1794486,-3.3383262,0.034084816,-106.838425,195.81783,6.810087
Group A,-23.0,-7.2332067,-3.2377918,0.03753496,-103.41365,197.38048,6.6821213
Group A,-22.500000000000004,-7.285208,-3.136471,0.040916868,-99.97,198.89241,6.543291
Group A,-22.0,-7.3354445,-3.0343902,0.044225097,-96.508125,200.35355,6.3940225
Group A,-21.500000000000004,-7.3839054,-2.9315753,0.04745442,-93.028694,201.76382,6.23474
Group A,-21.000000000000004,-7.430583,-2.828052,0.05059982,-89.53234,203.12315,6.065865
Group A,-20.5,-7.4754686,-2.723847,0.053656504,-86.01972,204.43147,5.887816
Group A,-20.0,-7.518554,-2.618986,0.056619883,-82.491455,205.6887,5.7010074
Group A,-19.500000000000004,-7.559831,-2.5134947,0.059485584,-78.94817,206.89479,5.50585
Group A,-19.000000000000004,-7.599293,-2.4074001,0.06224944,-75.39051,208.04968,5.3027487
Group A,-18.5,-7.636932,-2.300728,0.0649075,-71.81907,209.15329,5.092106
Group A,-18.000000000000004,-7.6727414,-2.1935048,0.06745599,-68.234474,210.20557,4.8743167
Group A,-17.5,-7.706714,-2.0857565,0.06989138,-64.63732,211.20647,4.649773
Group A,-17.000000000000004,-7.738845,-1.9775097,0.0722103,-61.028225,212.15591,4.418861
Group A,-16.5,-7.769127,-1.8687905,0.07440959,-57.407772,213.05386,4.181962
Group A,-16.0,-7.7975545,-1.7596252,0.0764863,-53.77656,213.90027,3.9394531
Group A,-15.500000000000002,-7.824123,-1.6500404,0.078437634,-50.13519,214.69505,3.6917064
Group A,-15.0,-7.848827,-1.5400623,0.08026103,-46.484234,215.43817,3.439089
Group A,-14.500000000000002,-7.8716617,-1.4297174,0.08195408,-42.824284,216.1296,3.1819649
Group A,-14.0,-7.8926225,-1.3190323,0.083514564,-39.15592,216.76923,2.9206932
Group A,-13.500000000000002,-7.9117055,-1.2080332,0.08494046,-35.47972,217.35704,2.6556299
Group A,-13.000000000000002,-7.928907,-1.0967469,0.08622993,-31.796265,217.89297,2.3871276
Group A,-12.500000000000002,-7.944223,-0.9851998,0.08738129,-28.106125,218.37698,2.115536
Group A,-12.000000000000002,-7.9576507,-0.87341845,0.08839305,-24.409876,218.809,1.8412019
Group A,-11.5,-7.9691863,-0.7614295,0.0892639,-20.70809,219.18898,1.5644697
Group A,-11.0,-7.978828,-0.64925957,0.0899927,-17.00134,219.51686,1.2856826
Group A,-10.500000000000002,-7.986573,-0.5369353,0.0905785,-13.290198,219.79259,1.0051816
Group A,-10.0,-7.9924197,-0.42448342,0.09102049,-9.575235,220.01611,0.7233069
Group A,-9.500000000000002,-7.9963655,-0.31193057,0.091318056,-5.857024,220.18736,0.4403984
Group A,-9.000000000000002,-7.9984093,-0.19930354,0.09147077,-2.1361372,220.30629,0.15679531
Group A,-8.500000000000002,-7.9985495,-0.08662906,0.09147835,1.5868515,220.37283,-0.12716274
